,UNICAST (2048),UNICAST (34525),UNICAST (2054),BROADCAST (2048),UNICAST (35130),UNICAST (35020),BROADCAST (2054)
2021-05-07 20:56:33.485111,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:33.485916,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:33.495245,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:33.948615,3.0,1.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:33.949464,3.0,2.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:34.521863,3.0,3.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:34.522413,3.0,4.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:34.532713,3.0,5.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:34.533205,3.0,6.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:34.534212,3.0,7.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:34.569208,3.0,8.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:34.570695,3.0,9.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:34.571817,3.0,10.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:34.572907,3.0,11.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:34.586119,3.0,12.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:34.604764,3.0,13.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:34.605456,3.0,14.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:34.605920,3.0,15.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:34.612727,3.0,16.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:34.613860,3.0,17.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:34.621848,3.0,18.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:34.647646,3.0,19.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:34.648967,3.0,20.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:34.649963,3.0,21.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:34.651160,3.0,22.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:34.655367,3.0,23.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:34.657823,3.0,24.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:34.667654,3.0,25.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:34.668879,3.0,26.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:34.670399,3.0,27.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:34.671887,3.0,28.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:34.672755,3.0,29.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:34.673488,3.0,30.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:34.674090,3.0,31.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:34.674642,3.0,32.0,0.0,0.0,0.0,0.0,0.0
2021-05-07 20:56:34.675114,3.0,33.0,0.0,0.0,0.0,0.0,0.0
