,src: 192.168.0.24 dst:  (192.168.0.2),src: 192.168.0.2 dst:  (192.168.0.24),src: 192.168.0.24 dst:  (192.168.0.113),src: 192.168.0.113 dst:  (192.168.0.24),src: 192.168.0.24 dst:  (192.168.0.7),src: 192.168.0.24 dst:  (192.168.0.3),src: 192.168.0.24 dst:  (192.168.0.1)
2021-05-10 20:35:07.592974,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-10 20:35:07.593725,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2021-05-10 20:35:09.668647,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2021-05-10 20:35:09.670822,1.0,1.0,1.0,1.0,0.0,0.0,0.0
2021-05-10 20:35:10.151392,1.0,1.0,1.0,1.0,1.0,0.0,0.0
2021-05-10 20:35:10.153054,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2021-05-10 20:35:15.933414,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021-05-10 20:35:19.147918,2.0,1.0,1.0,1.0,1.0,1.0,1.0
2021-05-10 20:35:19.149764,2.0,2.0,1.0,1.0,1.0,1.0,1.0
2021-05-10 20:35:21.225694,2.0,2.0,2.0,1.0,1.0,1.0,1.0
2021-05-10 20:35:21.227564,2.0,2.0,2.0,2.0,1.0,1.0,1.0
2021-05-10 20:35:21.768046,2.0,2.0,2.0,2.0,2.0,1.0,1.0
2021-05-10 20:35:21.769168,2.0,2.0,2.0,2.0,2.0,2.0,1.0
2021-05-10 20:35:30.227780,3.0,2.0,2.0,2.0,2.0,2.0,1.0
2021-05-10 20:35:30.228242,3.0,3.0,2.0,2.0,2.0,2.0,1.0
2021-05-10 20:35:32.283104,3.0,3.0,3.0,2.0,2.0,2.0,1.0
2021-05-10 20:35:32.284120,3.0,3.0,3.0,3.0,2.0,2.0,1.0
2021-05-10 20:35:32.867740,3.0,3.0,3.0,3.0,3.0,2.0,1.0
2021-05-10 20:35:32.868614,3.0,3.0,3.0,3.0,3.0,3.0,1.0
