,UNICAST,UNICAST,BROADCAST,UNICAST
,2048,34525,2048,2054
2020-09-29 01:01:33.705349,1.0,0.0,0.0,0.0
2020-09-29 01:01:33.706645,1.0,1.0,0.0,0.0
2020-09-29 01:01:35.971806,2.0,1.0,0.0,0.0
2020-09-29 01:01:35.972216,3.0,1.0,0.0,0.0
2020-09-29 01:01:35.999675,4.0,1.0,0.0,0.0
2020-09-29 01:01:36.000133,5.0,1.0,0.0,0.0
2020-09-29 01:01:37.971809,5.0,1.0,1.0,0.0
2020-09-29 01:01:40.415742,6.0,1.0,1.0,0.0
2020-09-29 01:01:40.416199,7.0,1.0,1.0,0.0
2020-09-29 01:01:40.416775,8.0,1.0,1.0,0.0
2020-09-29 01:01:40.417497,9.0,1.0,1.0,0.0
2020-09-29 01:01:40.417906,10.0,1.0,1.0,0.0
2020-09-29 01:01:40.430245,11.0,1.0,1.0,0.0
2020-09-29 01:01:40.481680,12.0,1.0,1.0,0.0
2020-09-29 01:01:40.488432,13.0,1.0,1.0,0.0
2020-09-29 01:01:40.655741,14.0,1.0,1.0,0.0
2020-09-29 01:01:40.656151,15.0,1.0,1.0,0.0
2020-09-29 01:01:41.100175,16.0,1.0,1.0,0.0
2020-09-29 01:01:41.100646,17.0,1.0,1.0,0.0
2020-09-29 01:01:41.101299,18.0,1.0,1.0,0.0
2020-09-29 01:01:41.264874,19.0,1.0,1.0,0.0
2020-09-29 01:01:44.005280,20.0,1.0,1.0,0.0
2020-09-29 01:01:44.014733,21.0,1.0,1.0,0.0
2020-09-29 01:01:44.184626,22.0,1.0,1.0,0.0
2020-09-29 01:01:44.185040,23.0,1.0,1.0,0.0
2020-09-29 01:01:44.537209,24.0,1.0,1.0,0.0
2020-09-29 01:01:44.537646,25.0,1.0,1.0,0.0
2020-09-29 01:01:44.538156,26.0,1.0,1.0,0.0
2020-09-29 01:01:44.709098,27.0,1.0,1.0,0.0
2020-09-29 01:01:46.812098,28.0,1.0,1.0,0.0
